Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Dolar
2021-02-05 00:00:00-03:00,52.13,53.62,51.76,53.57,27114800.0,0.0,0.0,5.35
2021-02-08 00:00:00-03:00,53.73,54.85,53.43,54.33,28164400.0,0.0,0.0,5.47
2021-02-09 00:00:00-03:00,54.67,55.03,53.36,54.47,32303400.0,0.0,0.0,5.47
2021-02-10 00:00:00-03:00,54.71,55.29,54.55,54.73,40318300.0,0.0,0.0,5.35
2021-02-11 00:00:00-03:00,55.18,55.18,53.81,53.81,19775900.0,0.0,0.0,5.41
2021-02-12 00:00:00-03:00,53.82,54.41,53.29,54.26,14760700.0,0.0,0.0,5.44
2021-02-17 00:00:00-03:00,55.49,55.9,55.02,55.69,29262900.0,0.0,0.0,5.46
2021-02-18 00:00:00-03:00,56.27,56.87,55.49,56.29,33088500.0,0.0,0.0,5.43
2021-02-19 00:00:00-03:00,56.18,57.13,55.67,56.51,24966600.0,0.0,0.0,5.37
2021-02-22 00:00:00-03:00,55.77,56.94,54.35,55.11,50160600.0,0.0,0.0,5.35
2021-02-23 00:00:00-03:00,55.82,56.26,53.93,56.03,35756200.0,0.0,0.0,5.43
2021-02-24 00:00:00-03:00,56.14,56.76,55.4,56.6,21856100.0,0.0,0.0,5.37
2021-02-25 00:00:00-03:00,57.04,57.19,54.92,55.32,24471000.0,0.0,0.0,5.36
2021-02-26 00:00:00-03:00,55.8,56.47,54.34,54.63,42856000.0,0.0,0.0,5.38
2021-03-01 00:00:00-03:00,55.48,57.41,55.11,56.97,32798000.0,0.0,0.0,5.38
2021-03-02 00:00:00-03:00,56.35,59.06,54.87,58.72,47565800.0,0.0,0.0,5.37
2021-03-03 00:00:00-03:00,58.95,60.11,57.59,58.0,41473300.0,0.0,0.0,5.37
2021-03-04 00:00:00-03:00,57.45,58.66,56.36,57.14,48492500.0,0.0,0.0,5.37
2021-03-05 00:00:00-03:00,57.21,60.76,56.73,60.53,46503300.0,4.26,0.0,5.37
2021-03-08 00:00:00-03:00,59.92,61.56,59.73,60.2,39677300.0,0.0,0.0,5.41
2021-03-09 00:00:00-03:00,58.89,59.98,57.91,59.6,40537000.0,0.0,0.0,5.43
2021-03-10 00:00:00-03:00,58.89,59.09,57.81,58.68,31311800.0,0.0,0.0,5.38
2021-03-11 00:00:00-03:00,59.79,60.46,59.32,60.22,26203200.0,0.0,0.0,5.46
2021-03-12 00:00:00-03:00,59.79,60.06,58.41,58.83,21115500.0,0.0,0.0,5.44
2021-03-15 00:00:00-03:00,58.28,58.8,57.84,58.48,20059000.0,0.0,0.0,5.4
2021-03-16 00:00:00-03:00,58.61,59.09,57.99,58.29,19174300.0,0.0,0.0,5.53
2021-03-17 00:00:00-03:00,58.22,59.26,58.02,59.13,21424300.0,0.0,0.0,5.6
2021-03-18 00:00:00-03:00,59.01,59.35,57.7,58.08,19156100.0,0.0,0.0,5.64
2021-03-19 00:00:00-03:00,58.04,58.08,56.44,57.25,38643000.0,0.0,0.0,5.68
2021-03-22 00:00:00-03:00,56.48,56.68,55.48,56.3,21120800.0,0.0,0.0,5.62
2021-03-23 00:00:00-03:00,56.38,56.64,55.0,55.0,20518500.0,0.0,0.0,5.67
2021-03-24 00:00:00-03:00,55.57,57.16,55.45,56.26,24726000.0,0.0,0.0,5.69
2021-03-25 00:00:00-03:00,56.2,56.35,54.73,55.83,23644400.0,0.0,0.0,5.87
2021-03-26 00:00:00-03:00,56.62,57.82,56.41,57.7,26712800.0,0.0,0.0,5.8
2021-03-29 00:00:00-03:00,57.98,59.46,57.9,59.18,25960500.0,0.0,0.0,5.67
2021-03-30 00:00:00-03:00,59.14,59.49,58.33,58.63,18118600.0,0.0,0.0,5.53
2021-03-31 00:00:00-03:00,58.69,59.53,58.41,59.17,18792000.0,0.0,0.0,5.5
2021-04-01 00:00:00-03:00,59.49,59.71,58.06,58.82,17193400.0,0.0,0.0,5.61
2021-04-05 00:00:00-03:00,60.3,62.71,60.28,62.45,35908700.0,0.0,0.0,5.62
2021-04-06 00:00:00-03:00,62.69,63.15,61.64,61.64,22227800.0,0.0,0.0,5.58
2021-04-07 00:00:00-03:00,61.83,63.61,61.7,63.15,32822700.0,0.0,0.0,5.56
2021-04-08 00:00:00-03:00,63.38,63.6,62.89,63.12,25936300.0,0.0,0.0,5.49
2021-04-09 00:00:00-03:00,62.81,63.21,62.17,62.21,18854800.0,0.0,0.0,5.51
2021-04-12 00:00:00-03:00,62.15,62.59,61.73,62.45,14787500.0,0.0,0.0,5.52
2021-04-13 00:00:00-03:00,62.75,62.99,62.12,62.56,17605600.0,0.0,0.0,5.62
2021-04-14 00:00:00-03:00,62.8,65.1,62.68,64.63,38030200.0,0.0,0.0,5.65
2021-04-15 00:00:00-03:00,65.63,66.37,64.96,65.36,19378200.0,0.0,0.0,5.75
2021-04-16 00:00:00-03:00,65.62,65.9,64.93,65.64,17401500.0,0.0,0.0,5.78
2021-04-19 00:00:00-03:00,65.83,66.37,65.01,65.07,23297500.0,0.0,0.0,5.77
2021-04-20 00:00:00-03:00,65.2,65.44,63.43,64.12,20895800.0,0.0,0.0,5.63
2021-04-22 00:00:00-03:00,64.77,64.77,63.02,64.16,19799100.0,0.0,0.0,5.71
2021-04-23 00:00:00-03:00,64.72,65.29,64.3,65.22,12795400.0,0.0,0.0,5.71
2021-04-26 00:00:00-03:00,66.41,66.86,65.32,65.57,16807500.0,0.0,0.0,5.66
2021-04-27 00:00:00-03:00,65.76,66.8,65.54,66.51,24113300.0,0.0,0.0,5.59
2021-04-28 00:00:00-03:00,66.78,67.91,66.03,67.6,20570600.0,0.0,0.0,5.61
2021-04-29 00:00:00-03:00,67.76,68.22,66.98,67.62,19724300.0,0.0,0.0,5.57
2021-04-30 00:00:00-03:00,67.04,67.38,65.85,65.85,36888200.0,0.0,0.0,5.68
2021-05-03 00:00:00-03:00,66.26,66.65,65.39,65.51,19641000.0,0.0,0.0,5.73
2021-05-04 00:00:00-03:00,65.8,67.08,65.63,66.5,20775600.0,0.0,0.0,5.72
2021-05-05 00:00:00-03:00,67.64,68.14,66.67,66.87,25990600.0,0.0,0.0,5.65
2021-05-06 00:00:00-03:00,67.61,69.58,67.33,69.49,38194400.0,0.0,0.0,5.61
2021-05-07 00:00:00-03:00,70.39,70.39,68.97,69.73,21678700.0,0.0,0.0,5.59
2021-05-10 00:00:00-03:00,72.36,72.75,69.27,69.27,38889400.0,0.0,0.0,5.55
2021-05-11 00:00:00-03:00,68.84,71.71,68.44,71.71,28693600.0,0.0,0.0,5.57
2021-05-12 00:00:00-03:00,71.27,71.55,68.83,69.05,31737900.0,0.0,0.0,5.57
2021-05-13 00:00:00-03:00,67.65,68.99,66.87,67.94,34338500.0,0.0,0.0,5.44
2021-05-14 00:00:00-03:00,67.16,67.52,66.21,66.78,25644200.0,0.0,0.0,5.48
2021-05-17 00:00:00-03:00,67.34,68.75,67.15,68.53,26097500.0,0.0,0.0,5.44
2021-05-18 00:00:00-03:00,69.19,69.7,68.37,69.22,27081500.0,0.0,0.0,5.45
